id,dteday,season,hour,holiday,weekday,workingday,weather,temp,atemp,hum,windspeed
1,1/1/2011,1,0,0,6,0,1,0.24,0.2879,0.81,0
2,1/1/2011,1,1,0,6,0,1,0.22,0.2727,0.8,0
3,1/1/2011,1,2,0,6,0,1,0.22,0.2727,0.8,0
4,1/1/2011,1,3,0,6,0,1,0.24,0.2879,0.75,0
5,1/1/2011,1,4,0,6,0,1,0.24,0.2879,0.75,0
6,1/1/2011,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896
7,1/1/2011,1,6,0,6,0,1,0.22,0.2727,0.8,0
8,1/1/2011,1,7,0,6,0,1,0.2,0.2576,0.86,0
9,1/1/2011,1,8,0,6,0,1,0.24,0.2879,0.75,0
10,1/1/2011,1,9,0,6,0,1,0.32,0.3485,0.76,0
11,1/1/2011,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537
12,1/1/2011,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836
13,1/1/2011,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836
14,1/1/2011,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985
15,1/1/2011,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836
16,1/1/2011,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985
17,1/1/2011,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985
18,1/1/2011,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836
19,1/1/2011,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537
20,1/1/2011,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537
21,1/1/2011,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537
22,1/1/2011,1,21,0,6,0,2,0.4,0.4091,0.87,0.194
23,1/1/2011,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239
24,1/1/2011,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985
25,1/2/2011,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985
26,1/2/2011,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537
27,1/2/2011,1,2,0,0,0,2,0.42,0.4242,1,0.2836
28,1/2/2011,1,3,0,0,0,2,0.46,0.4545,0.94,0.194
29,1/2/2011,1,4,0,0,0,2,0.46,0.4545,0.94,0.194
30,1/2/2011,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985
31,1/2/2011,1,7,0,0,0,2,0.4,0.4091,0.76,0.194
32,1/2/2011,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239
33,1/2/2011,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239
34,1/2/2011,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239
35,1/2/2011,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537
36,1/2/2011,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985
37,1/2/2011,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343
38,1/2/2011,1,14,0,0,0,3,0.36,0.3485,0.76,0.194
39,1/2/2011,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642
40,1/2/2011,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642
41,1/2/2011,1,17,0,0,0,1,0.34,0.3333,0.57,0.194
42,1/2/2011,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284
43,1/2/2011,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478
44,1/2/2011,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582
45,1/2/2011,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284
46,1/2/2011,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985
47,1/2/2011,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642
48,1/3/2011,1,0,0,1,1,1,0.22,0.197,0.44,0.3582
49,1/3/2011,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179
50,1/3/2011,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881
51,1/3/2011,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836
52,1/3/2011,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881
53,1/3/2011,1,7,0,1,1,1,0.14,0.1364,0.5,0.194
54,1/3/2011,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836
55,1/3/2011,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881
56,1/3/2011,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537
57,1/3/2011,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284
58,1/3/2011,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985
59,1/3/2011,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836
60,1/3/2011,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836
61,1/3/2011,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537
62,1/3/2011,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537
63,1/3/2011,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239
64,1/3/2011,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045
65,1/3/2011,1,19,0,1,1,1,0.2,0.2576,0.47,0
66,1/3/2011,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045
67,1/3/2011,1,21,0,1,1,1,0.18,0.197,0.64,0.1343
68,1/3/2011,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343
69,1/3/2011,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045
70,1/4/2011,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045
71,1/4/2011,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045
72,1/4/2011,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343
73,1/4/2011,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896
74,1/4/2011,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045
75,1/4/2011,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045
76,1/4/2011,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343
77,1/4/2011,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642
78,1/4/2011,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239
79,1/4/2011,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284
80,1/4/2011,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985
81,1/4/2011,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642
82,1/4/2011,1,13,0,2,1,1,0.24,0.2273,0.56,0.194
83,1/4/2011,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239
84,1/4/2011,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537
85,1/4/2011,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537
86,1/4/2011,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239
87,1/4/2011,1,18,0,2,1,1,0.26,0.2576,0.48,0.194
88,1/4/2011,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045
89,1/4/2011,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045
90,1/4/2011,1,21,0,2,1,1,0.22,0.2727,0.64,0
91,1/4/2011,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896
92,1/4/2011,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896
93,1/5/2011,1,0,0,3,1,1,0.2,0.2576,0.64,0
94,1/5/2011,1,1,0,3,1,1,0.16,0.197,0.74,0.0896
95,1/5/2011,1,2,0,3,1,1,0.16,0.197,0.74,0.0896
96,1/5/2011,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239
