id,year,month,day,hour,total_riders,casual,registered,under_25,age_2635,age_3645,age_4655,over_55,commute,leisure,reason_na,employed,unemployed,student,na_employed
1,2011,1,1,0,16,3,13,12,3,1,0,0,13,1,2,1,1,14,0
2,2011,1,1,1,40,8,32,18,12,7,3,0,34,1,5,11,6,23,0
3,2011,1,1,2,32,5,27,24,3,2,3,0,28,1,3,0,1,30,1
4,2011,1,1,3,13,3,10,6,3,2,2,0,12,0,1,2,4,6,1
5,2011,1,1,4,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
6,2011,1,1,5,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
7,2011,1,1,6,2,2,0,1,0,1,0,0,2,0,0,0,0,2,0
8,2011,1,1,7,3,1,2,2,0,0,0,1,3,0,0,0,2,1,0
9,2011,1,1,8,8,1,7,5,1,1,0,1,7,0,1,3,2,2,1
10,2011,1,1,9,14,8,6,5,4,2,0,3,14,0,0,0,0,14,0
11,2011,1,1,10,36,12,24,22,10,2,2,0,36,0,0,6,2,21,7
12,2011,1,1,11,56,26,30,25,13,3,4,11,49,2,5,23,9,5,19
13,2011,1,1,12,84,29,55,63,14,2,1,4,76,2,6,5,1,73,5
14,2011,1,1,13,94,47,47,51,15,5,2,21,94,0,0,61,1,16,16
15,2011,1,1,14,106,35,71,63,32,8,2,1,97,8,1,33,2,66,5
16,2011,1,1,15,110,40,70,43,39,11,8,9,100,2,8,32,24,43,11
17,2011,1,1,16,93,41,52,55,16,5,15,2,75,6,12,27,31,26,9
18,2011,1,1,17,67,15,52,42,15,9,1,0,47,12,8,17,0,46,4
19,2011,1,1,18,35,9,26,13,10,0,3,9,26,0,9,2,1,30,2
20,2011,1,1,19,37,6,31,28,6,0,2,1,36,0,1,19,16,1,1
21,2011,1,1,20,36,11,25,13,10,4,1,8,34,0,2,1,6,21,8
22,2011,1,1,21,34,3,31,26,6,0,2,0,34,0,0,11,0,23,0
23,2011,1,1,22,28,11,17,20,6,1,1,0,25,1,2,4,4,13,7
24,2011,1,1,23,39,15,24,12,13,3,11,0,33,3,3,4,8,22,5
25,2011,1,2,0,17,4,13,12,3,2,0,0,15,2,0,2,4,0,11
26,2011,1,2,1,17,1,16,11,4,2,0,0,16,0,1,7,0,8,2
27,2011,1,2,2,9,1,8,6,2,0,1,0,8,1,0,1,2,6,0
28,2011,1,2,3,6,2,4,4,2,0,0,0,6,0,0,0,0,6,0
29,2011,1,2,4,3,2,1,2,1,0,0,0,3,0,0,1,0,2,0
30,2011,1,2,6,2,0,2,1,1,0,0,0,2,0,0,1,0,1,0
31,2011,1,2,7,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
32,2011,1,2,8,8,0,8,4,2,0,1,1,7,1,0,1,0,6,1
33,2011,1,2,9,20,1,19,12,4,1,1,2,18,0,2,1,3,12,4
34,2011,1,2,10,53,7,46,21,18,6,1,7,46,0,7,15,12,8,18
35,2011,1,2,11,70,16,54,43,16,1,7,3,66,0,4,22,6,27,15
36,2011,1,2,12,93,20,73,36,29,2,7,19,81,1,11,0,37,46,10
37,2011,1,2,13,75,11,64,33,13,11,1,17,71,0,4,12,8,20,35
38,2011,1,2,14,59,4,55,40,7,4,0,8,50,0,9,12,3,21,23
39,2011,1,2,15,74,19,55,47,13,10,3,1,68,1,5,28,15,27,4
40,2011,1,2,16,76,9,67,37,17,5,2,15,54,2,20,56,7,9,4
